Byte,Bit,Byte Name,Bit Name
0,0,Zone Offset,
0,1,,
0,2,,
0,3,,
0,4,,
0,5,,
0,6,,
0,7,,
1,0,Zone 1 & 2,Zone 1 Faulted
1,1,,Zone 1 Bypass
1,2,,Zone 1 Trouble
1,3,,Zone 1 Alarm Memory
1,4,,Zone 2 Faulted
1,5,,Zone 2 Bypass
1,6,,Zone 2 Trouble
1,7,,Zone 2 Alarm Memory
2,0,Zone 3 & 4,Zone 3 Faulted
2,1,,Zone 3 Bypass
2,2,,Zone 3 Trouble
2,3,,Zone 3 Alarm Memory
2,4,,Zone 4 Faulted
2,5,,Zone 4 Bypass
2,6,,Zone 4 Trouble
2,7,,Zone 4 Alarm Memory
3,0,Zone 5 & 6,Zone 5 Faulted
3,1,,Zone 5 Bypass
3,2,,Zone 5 Trouble
3,3,,Zone 5 Alarm Memory
3,4,,Zone 6 Faulted
3,5,,Zone 6 Bypass
3,6,,Zone 6 Trouble
3,7,,Zone 6 Alarm Memory
4,0,Zone 7 & 8,Zone 7 Faulted
4,1,,Zone 7 Bypass
4,2,,Zone 7 Trouble
4,3,,Zone 7 Alarm Memory
4,4,,Zone 8 Faulted
4,5,,Zone 8 Bypass
4,6,,Zone 8 Trouble
4,7,,Zone 8 Alarm Memory
5,0,Zone 9 & 10,Zone 9 Faulted
5,1,,Zone 9 Bypass
5,2,,Zone 9 Trouble
5,3,,Zone 9 Alarm Memory
5,4,,Zone 10 Faulted
5,5,,Zone 10 Bypass
5,6,,Zone 10 Trouble
5,7,,Zone 10 Alarm Memory
6,0,Zone 11 & 12,Zone 11 Faulted
6,1,,Zone 11 Bypass
6,2,,Zone 11 Trouble
6,3,,Zone 11 Alarm Memory
6,4,,Zone 12 Faulted
6,5,,Zone 12 Bypass
6,6,,Zone 12 Trouble
6,7,,Zone 12 Alarm Memory
7,0,Zone 13 & 14,Zone 13 Faulted
7,1,,Zone 13 Bypass
7,2,,Zone 13 Trouble
7,3,,Zone 13 Alarm Memory
7,4,,Zone 14 Faulted
7,5,,Zone 14 Bypass
7,6,,Zone 14 Trouble
7,7,,Zone 14 Alarm Memory
8,0,Zone 15 & 16,Zone 15 Faulted
8,1,,Zone 15 Bypass
8,2,,Zone 15 Trouble
8,3,,Zone 15 Alarm Memory
8,4,,Zone 16 Faulted
8,5,,Zone 16 Bypass
8,6,,Zone 16 Trouble
8,7,,Zone 16 Alarm Memory
