Byte,Bit,Byte Name,Bit Name
0,0,Message Number,
0,1,,
0,2,,
0,3,,
0,4,,
0,5,,
0,6,,
0,7,,
1,0,Zone Number,
1,1,,
1,2,,
1,3,,
1,4,,
1,5,,
1,6,,
1,7,,
2,0,Partition Mask,Partition 1 Enable
2,1,,Partition 2 Enable
2,2,,Partition 3 Enable
2,3,,Partition 4 Enable
2,4,,Partition 5 Enable
2,5,,Partition 6 Enable
2,6,,Partition 7 Enable
2,7,,Partition 8 Enable
3,0,Zone Type Flags 1,Fire
3,1,,24 Hour
3,2,,Key-switch
3,3,,Follower
3,4,,Entry / Exit Delay 1
3,5,,Entry / Exit Delay 2
3,6,,Interior
3,7,,Local Only
4,0,Zone Type Flags 2,Keypad Sounder
4,1,,Yelping Siren
4,2,,Steady Siren
4,3,,Chime
4,4,,Bypassable
4,5,,Group Bypassable
4,6,,Force Armable
4,7,,Entry Guard
5,0,Zone Type Flags 3,Fast Loop Response
5,1,,Double EOL Tamper
5,2,,Trouble
5,3,,Cross Zone
5,4,,Dialer Delay
5,5,,Swinger Shutdown
5,6,,Restorable
5,7,,Listen In
6,0,Zone Condition Flags 1,Faulted
6,1,,Tampered
6,2,,Trouble
6,3,,Bypassed
6,4,,Inhibited
6,5,,Low Battery
6,6,,Loss of Supervision
6,7,,Reserved
7,0,Zone Condition Flags 2,Alarm Memory
7,1,,Bypass Memory
7,2,,Reserved
7,3,,Reserved
7,4,,Reserved
7,5,,Reserved
7,6,,Reserved
7,7,,Reserved
